particle_id,phase,source_path,source_folder,stl_size_bytes,stl_size_mib,stl_format,metadata_volume_um3,metadata_evsd_um,size_rank,size_bin_index,size_bin,input_unit,input_scale_to_meters,target_edge_length_native,target_edge_length_m,surface_path,surface_file_size_bytes,surface_n_points_surface,surface_n_triangles_surface,surface_surface_area,surface_surface_volume,surface_bbox_xmin,surface_bbox_xmax,surface_bbox_ymin,surface_bbox_ymax,surface_bbox_zmin,surface_bbox_zmax,surface_bbox_diagonal,surface_boundary_edge_count,surface_non_manifold_edge_count,surface_connected_components,surface_is_watertight,surface_area_min,surface_area_median,surface_area_p95,surface_area_max,surface_min_angle_min,surface_min_angle_median,surface_min_angle_p95,surface_min_angle_max,surface_max_angle_min,surface_max_angle_median,surface_max_angle_p95,surface_max_angle_max,surface_aspect_ratio_min,surface_aspect_ratio_median,surface_aspect_ratio_p95,surface_aspect_ratio_max,msh_path,merrill_msh_path,merrill_msh_size_bytes,merrill_msh_size_mib,mesh_strategy,voxel_spacing_native,voxel_cells,voxel_points,msh_size_bytes,msh_size_mib,n_nodes,n_tets,bbox_xmin,bbox_xmax,bbox_ymin,bbox_ymax,bbox_zmin,bbox_zmax,volume_min,volume_median,volume_p95,volume_max,scaled_jacobian_min,scaled_jacobian_median,scaled_jacobian_p95,scaled_jacobian_max,radius_ratio_min,radius_ratio_median,radius_ratio_p95,radius_ratio_max,aspect_ratio_min,aspect_ratio_median,aspect_ratio_p95,aspect_ratio_max,min_angle_min,min_angle_median,min_angle_p95,min_angle_max,max_angle_min,max_angle_median,max_angle_p95,max_angle_max,edge_length_min,edge_length_median,edge_length_p95,edge_length_max,edge_length_min_m,edge_length_median_m,edge_length_p95_m,edge_length_max_m,bbox_xmin_m,bbox_xmax_m,bbox_ymin_m,bbox_ymax_m,bbox_zmin_m,bbox_zmax_m,mesh_storage_bytes,vector_state_bytes,scalar_state_bytes,tet_workspace_bytes,sparse_operator_bytes,estimated_memory_bytes,estimated_memory_mib,estimated_memory_gib,estimated_memory_human,estimate_note,status,attempted_mesh_strategies,strategy_errors
PLAG113,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG113-binary.stl,Plag Binary meshes,81693,0.07790851593017578,ascii,0.0028440566446878,0.175784214723851,133,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG113-binary.stl,81693,254,504,0.1371623252964465,0.0029267704270780357,21.510143280029297,21.776329040527344,8.183987617492676,8.412274360656738,14.879371643066406,15.01937198638916,0.3775841526426489,3,3,1,False,0.00020474879875109764,0.0002915413424890376,0.0003607555002254055,0.0003607779723713267,34.448573760498284,44.61301551601138,59.16546225162776,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.393955405098647,1.4639931274490585,1.4792453495867504,,data/Nikolaisen2022_merrill_msh/PLAG113.msh,837501,0.7987031936645508,voxel,0.009,4100.0,5307.0,837501,0.7987031936645508,5307,24600,21.510143280029297,21.7674560546875,8.183987617492676,8.412274360656738,14.879371643066406,15.01937198638916,1.1813271913781408e-07,1.1815811856140852e-07,1.1817099683046155e-07,1.1818333844892948e-07,0.4117543314549515,0.56195629507522,0.6818627513782246,0.681901491797503,1.3667488534484138,1.393012519412286,1.615431573999648,1.6154535487209378,1.37946512576165,1.706084938934474,1.9784915353401118,1.9785184487673118,34.2993416561477,53.972853689974954,59.06446830497078,59.069821400017666,-1.0,-1.0,-1.0,-1.0,0.008749961853027344,0.012461609452374177,0.015449102007438233,0.015450205846736734,8.749961853027343e-09,1.2461609452374175e-08,1.5449102007438234e-08,1.5450205846736732e-08,2.1510143280029296e-05,2.17674560546875e-05,8.183987617492676e-06,8.412274360656739e-06,1.4879371643066405e-05,1.5019371986389159e-05,914568,1528416,509472,1574400,20378880,37358604.0,35.6279411315918,0.034792911261320114,35.63 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG112,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG112-binary.stl,Plag Binary meshes,81771,0.07798290252685547,ascii,0.0025203248365236,0.16884412960667,134,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG112-binary.stl,81771,259,514,0.13839643665906165,0.0026162208484687656,3.000020980834961,3.245729923248291,13.35156536102295,13.538344383239746,9.059371948242188,9.219371795654297,0.34764815358928364,0,0,1,True,0.00020474403049774992,0.0002915350214632644,0.0003607526852832725,0.00036076392017657844,34.4493412784001,44.327074682165176,59.16585514036257,59.16605158248057,60.994111733273925,90.0,90.0,90.0,1.0101288842680125,1.394175143026523,1.4792103742711722,1.4792322023815037,,data/Nikolaisen2022_merrill_msh/PLAG112.msh,762825,0.7274866104125977,voxel,0.009,3720.0,4920.0,762825,0.7274866104125977,4920,22320,3.000020980834961,3.245729923248291,13.35156536102295,13.538344383239746,9.059371948242188,9.219371795654297,1.1989777501560106e-07,1.199137728783578e-07,1.199266391630014e-07,1.199266391630014e-07,0.40977859540977274,0.5662183014392822,0.6907303686620031,0.6907488841756929,1.3662994820692458,1.3934472745132687,1.6094888421503217,1.6095053269158752,1.371791200927341,1.7066174030147134,1.9712132049855928,1.97123339461766,34.63832803793577,54.41298791504909,59.60454126394823,59.60454126394823,-1.0,-1.0,-1.0,-1.0,0.00888824462890625,0.012574596998971892,0.015522192057439774,0.015522738517179195,8.88824462890625e-09,1.2574596998971891e-08,1.5522192057439772e-08,1.5522738517179195e-08,3.000020980834961e-06,3.2457299232482907e-06,1.3351565361022949e-05,1.3538344383239746e-05,9.059371948242187e-06,9.219371795654296e-06,832320,1416960,472320,1428480,18892800,34564320.0,32.963104248046875,0.032190531492233276,32.96 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of boundary mesh for parametrization | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG111,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG111-binary.stl,Plag Binary meshes,82665,0.07883548736572266,ascii,0.0022776472183139,0.163241011988103,135,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG111-binary.stl,82665,257,510,0.12717693520864454,0.0023527335989920843,23.312013626098633,23.455345153808594,12.18937873840332,12.521431922912598,4.01937198638916,4.159371852874756,0.38781852301612424,0,0,1,True,0.0002047536804639094,0.00021247166841931175,0.0003607498715821029,0.00036077235479761076,34.44921098410805,44.32705882826191,59.165109053640805,59.16817326110164,60.9945136934832,90.0,90.0,90.0,1.0101326317160813,1.394175158499121,1.4639883771086337,1.4792344341757253,,data/Nikolaisen2022_merrill_msh/PLAG111.msh,685993,0.6542139053344727,voxel,0.009,3344.0,4432.0,685993,0.6542139053344727,4432,20064,23.312013626098633,23.455345153808594,12.18937873840332,12.521431922912598,4.01937198638916,4.159371852874756,1.1722028960918045e-07,1.1724525134035786e-07,1.1725771098449606e-07,1.1726410105048976e-07,0.41139029960161744,0.5740560135022337,0.6975156256549145,0.6975351113207533,1.366327524657246,1.3928025091821794,1.6136692118425644,1.6136692118425644,1.3772509247279738,1.705827729982211,1.9763330913266886,1.9763330913266888,34.89130238277929,54.07288973800619,59.19192137672261,59.19373792738416,-1.0,-1.0,-1.0,-1.0,0.008749961853027344,0.012522868122660197,0.01540637055959639,0.015407196898223988,8.749961853027343e-09,1.2522868122660198e-08,1.5406370559596388e-08,1.540719689822399e-08,2.3312013626098632e-05,2.345534515380859e-05,1.218937873840332e-05,1.2521431922912596e-05,4.01937198638916e-06,4.159371852874756e-06,748416,1276416,425472,1284096,17018880,31129920.0,29.68780517578125,0.028991997241973877,29.69 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of boundary mesh for parametrization | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG110,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG110-binary.stl,Plag Binary meshes,83313,0.0794534683227539,ascii,0.0010532582406573,0.126234698701416,136,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG110-binary.stl,83313,261,514,0.13688788466724244,0.0049431370111546365,4.18761682510376,4.494753837585449,13.496838569641113,13.642111778259277,13.419371604919434,13.85937213897705,0.5559117911587974,12,9,1,False,0.00020473426729950006,0.0002915307899452404,0.00036075549565903127,0.0003607723448077223,34.449187774232996,44.327074682165176,59.16585514036257,59.166640435655275,60.993308156917955,90.0,90.0,90.0,1.0101204197226628,1.394175143026523,1.4791971370527432,1.4792348317382653,,data/Nikolaisen2022_merrill_msh/PLAG110.msh,481671,0.45935726165771484,pymeshfix_gmsh,,,,656975,0.6265401840209961,3804,13393,4.18761682510376,4.474277973175049,13.49683856964111,13.64211177825928,13.41937160491943,13.85937213897705,4.599417666535459e-09,8.203376128705737e-08,1.8635668303597502e-07,3.797796697346494e-07,0.06594826542286152,0.5413706357371768,0.7963811474526256,0.9994746909385205,1.0004672004405433,1.3282285441078354,2.16790065185328,36.4370498464262,1.0104197403054975,1.568624374491776,2.534500237017559,8.698585778000018,7.438519576620862,49.091741080262615,67.23763208844022,82.72488522566887,-1.0,-1.0,-1.0,-1.0,0.0031813719084854606,0.00979922472463666,0.014373226332587129,0.02099388895769854,3.1813719084854606e-09,9.799224724636659e-09,1.4373226332587128e-08,2.099388895769854e-08,4.18761682510376e-06,4.474277973175049e-06,1.3496838569641109e-05,1.3642111778259279e-05,1.341937160491943e-05,1.3859372138977051e-05,519872,1095552,365184,857152,14607360,26167680.0,24.9554443359375,0.024370551109313965,24.96 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles
PLAG109,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG109-binary.stl,Plag Binary meshes,84474,0.08056068420410156,ascii,0.0019807147235515,0.155814463694156,137,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG109-binary.stl,84474,271,531,0.1464656988394315,0.003334553137608303,3.3071579933166504,3.470963954925537,14.534503936767578,14.742036819458008,3.579371929168701,3.839371919631958,0.370813006105915,11,4,1,False,0.00020474891209687485,0.0002915480049650075,0.00036075830270669546,0.0003607611114358296,34.44997850859797,44.32605838085539,59.16709279240999,59.16738739641846,60.99413510547198,90.0,90.0,90.0,1.0101288807874642,1.394176135622527,1.479199970579772,1.4792212878366704,,data/Nikolaisen2022_merrill_msh/PLAG109.msh,747559,0.7129278182983398,pymeshfix_gmsh,,,,1013885,0.9669160842895508,5210,21483,3.30715799331665,3.470963954925537,14.53450393676758,14.74203681945801,3.579371929168701,3.839371919631958,7.1525294006685804e-09,9.39304850862953e-08,1.805753970538595e-07,5.339076071540473e-07,0.08832296288888536,0.5813191694275499,0.8070704433535445,0.9898776241170328,1.0006071594136783,1.2793798811749577,2.074242176110671,19.429506211720827,1.0142929993602663,1.5104479293635846,2.4166942728013665,6.722362107756543,8.833654823867084,49.51073292781649,66.69098585988421,84.34572347024873,-1.0,-1.0,-1.0,-1.0,0.002464727114021326,0.009995391382599151,0.014143349316983168,0.027955037776769005,2.464727114021326e-09,9.995391382599151e-09,1.4143349316983168e-08,2.7955037776769003e-08,3.30715799331665e-06,3.470963954925537e-06,1.453450393676758e-05,1.4742036819458009e-05,3.579371929168701e-06,3.839371919631958e-06,812496,1500480,500160,1374912,20006400,36291672.0,34.610435485839844,0.03379925340414047,34.61 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: Exception: Invalid boundary mesh (overlapping facets) on surface 5 surface 20
PLAG108,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG108-binary.stl,Plag Binary meshes,85020,0.08108139038085938,ascii,0.0023940199917798,0.165975142484808,138,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG108-binary.stl,85020,260,515,0.14320151145539178,0.0028855731910351987,10.76034927368164,10.944631576538086,12.874238967895508,13.081771850585938,12.659371376037598,12.919371604919434,0.38030248955598667,8,8,1,False,0.0002047392622444022,0.0002950559600402421,0.00036076673515312863,0.0003607779723713267,34.448573760498284,44.32640772877653,59.16624802309894,59.16703377057601,60.99373314760741,90.0,90.0,90.0,1.0101251340138813,1.3941757942540631,1.4791918293676452,1.4792453495867504,,data/Nikolaisen2022_merrill_msh/PLAG108.msh,703213,0.6706361770629883,voxel,0.009,3412.0,4639.0,703213,0.6706361770629883,4639,20472,10.76034927368164,10.935417175292969,12.874238967895508,13.054702758789062,12.659371376037598,12.919371604919434,1.2421732914852957e-07,1.2423045855653597e-07,1.2424331752129703e-07,1.2425653348954735e-07,0.41039384738692936,0.5665786057499106,0.6901024847340264,0.6901401865506311,1.3663354315940603,1.3932231982985328,1.611135030857769,1.611135030857769,1.3739343277408296,1.7063429668199153,1.9732293661623823,1.9732293661623823,34.61307820815221,54.28160653869194,59.44387219462641,59.44740950380331,-1.0,-1.0,-1.0,-1.0,0.008965492248535156,0.012719646058793397,0.0157065141316269,0.01570760636647464,8.965492248535156e-09,1.2719646058793396e-08,1.5706514131626902e-08,1.5707606366474642e-08,1.0760349273681641e-05,1.0935417175292969e-05,1.2874238967895508e-05,1.3054702758789063e-05,1.2659371376037597e-05,1.2919371604919432e-05,766440,1336032,445344,1310208,17813760,32507676.0,31.00173568725586,0.0302751325070858,31.00 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG107,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG107-binary.stl,Plag Binary meshes,87813,0.08374500274658203,ascii,0.0024260719058647,0.166712570867301,139,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG107-binary.stl,87813,277,552,0.14469669942675983,0.0025213341637311724,25.19578742980957,25.33911895751953,7.893441200256348,8.183987617492676,9.67937183380127,9.819372177124023,0.35293234979954263,0,1,1,True,0.00020474879875109764,0.0002124816965078935,0.0003607611074756598,0.00036078359104281164,34.448262609097725,44.61301551601138,59.16550169673353,59.16856589390032,60.99373345506567,90.0,90.0,90.0,1.010124648649406,1.393955405098647,1.463983269055799,1.4792506797935838,,data/Nikolaisen2022_merrill_msh/PLAG107.msh,802691,0.7655057907104492,gmsh,,,,1066898,1.0174732208251953,5393,23269,25.195787,25.339119,7.893440999999999,8.183988,9.679371999999999,9.819372000000001,5.7722204727004246e-09,1.0336978383680296e-07,1.9625857265290908e-07,3.2789259701765424e-07,0.03115603678647041,0.5924435312686288,0.813630632365991,0.9724981554622453,1.0016131379659055,1.2683617183353628,2.057155527291005,131.93102491910292,1.0204460318314885,1.4983714135701809,2.413873197031889,16.738062547065898,2.9599922893163684,50.11289251376404,66.72712676850323,82.53208840700178,-1.0,-1.0,-1.0,-1.0,0.0030963630420756593,0.010314853181787854,0.014509301037996485,0.028696499500450133,3.0963630420756593e-09,1.0314853181787853e-08,1.4509301037996485e-08,2.869649950045013e-08,2.5195786999999998e-05,2.5339118999999998e-05,7.893440999999998e-06,8.183987999999999e-06,9.679372e-06,9.819372000000001e-06,874040,1553184,517728,1489216,20709120,37714932.0,35.9677619934082,0.0351247675716877,35.97 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,
PLAG106,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG106-binary.stl,Plag Binary meshes,89475,0.08533000946044922,ascii,0.0026147032048668,0.170925919797537,140,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG106-binary.stl,89475,275,542,0.15073845313560377,0.0033970730864444805,23.721529006958008,23.926288604736328,12.91574478149414,13.144031524658203,15.199371337890625,15.439372062683105,0.3894119642328804,9,7,1,False,0.00020474879875109764,0.0002950629283111731,0.0003607555002254055,0.0003607779723713267,34.448573760498284,44.32774165145066,59.16546225162776,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.3941744924291908,1.479202487493161,1.4792453495867504,,data/Nikolaisen2022_merrill_msh/PLAG106.msh,861183,0.8212881088256836,pymeshfix_gmsh,,,,1165339,1.111353874206543,5769,24982,23.72152900695801,23.92628860473633,12.91574478149414,13.1440315246582,15.19937133789062,15.43937206268311,1.2925741871519546e-09,1.0554326483523981e-07,1.9809943162441774e-07,3.499928693533301e-07,0.03501461965265326,0.5913969892162162,0.8176098950133791,0.9862730177056697,1.00069565207678,1.269657511556659,2.0912596499807226,87.37294483788374,1.01413807530653,1.4991555888712114,2.444871407130914,21.53536169580509,2.657094878153307,49.54565927376679,66.32297300851273,84.34827206060123,-1.0,-1.0,-1.0,-1.0,0.002807483563533811,0.010361457716495347,0.014583338004616656,0.024339250308742132,2.807483563533811e-09,1.0361457716495346e-08,1.4583338004616655e-08,2.433925030874213e-08,2.372152900695801e-05,2.3926288604736332e-05,1.291574478149414e-05,1.3144031524658199e-05,1.5199371337890619e-05,1.543937206268311e-05,937880,1661472,553824,1598848,22152960,40357476.0,38.48788833618164,0.03758582845330238,38.49 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: TimeoutError: Mesh conversion exceeded 30 seconds. Increase mesh_timeout_seconds to retry this STL.
PLAG105,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG105-binary.stl,Plag Binary meshes,90525,0.08633136749267578,ascii,0.0019673337018044,0.15546279442297,141,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG105-binary.stl,90525,292,580,0.14729395189952035,0.002137445205005453,4.371899127960205,4.494753837585449,8.453781127929688,8.951860427856445,5.319372177124023,5.479372024536133,0.5373790281212419,0,0,1,True,0.00020474891209687485,0.00021247180075079086,0.0003607501567353406,0.0003607723502156211,34.450132014376,43.94155801478111,59.165462484063276,59.16738751254068,60.99413510547198,90.0,90.0,90.0,1.0101288807874642,1.3946593163528025,1.4639597311099266,1.4792186586952911,,data/Nikolaisen2022_merrill_msh/PLAG105.msh,647515,0.617518424987793,gmsh,,,,853646,0.8141002655029297,4565,18555,4.371899,4.494754,8.453781,8.95186,5.319372,5.479372000000001,8.421159269166668e-09,1.0875846025118725e-07,2.0964504039166505e-07,3.750935982667665e-07,0.04485262632948485,0.5783628019450052,0.8103451253913772,0.9835253313902542,1.0008403592394743,1.2795692338618776,2.083039211681846,70.9774189145411,1.0123070162368426,1.5094279370142358,2.441679705633186,13.284621739152206,10.76694385061344,50.04584508917113,67.01744133520802,83.97859075649363,-1.0,-1.0,-1.0,-1.0,0.0030872285142520372,0.010588565036365499,0.014878571217983283,0.02571925200863918,3.0872285142520372e-09,1.0588565036365498e-08,1.4878571217983281e-08,2.571925200863918e-08,4.371899e-06,4.4947540000000006e-06,8.453780999999998e-06,8.951859999999999e-06,5.319372e-06,5.4793720000000005e-06,703320,1314720,438240,1187520,17529600,31760100.0,30.28879165649414,0.02957889810204506,30.29 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh,
PLAG104,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG104-binary.stl,Plag Binary meshes,93519,0.0891866683959961,ascii,0.0031322321395412,0.181531406708366,142,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG104-binary.stl,93519,291,577,0.14513382834379016,0.005489037709564415,14.548372268676758,14.875984191894531,4.635169982910156,4.821949005126953,13.699371337890625,13.799371719360352,0.39014875582116343,2,1,1,False,0.0002047392622444022,0.00021247655013212352,0.00036074987262030316,0.00036078359104281164,34.44949060751884,44.613691543728315,59.16546225162776,59.16703377057601,60.99373314760741,90.0,90.0,90.0,1.0101251340138813,1.3939550261300195,1.4640078307395101,1.4792296445839697,,data/Nikolaisen2022_merrill_msh/PLAG104.msh,902713,0.8608942031860352,voxel,0.009,4437.0,5614.0,902713,0.8608942031860352,5614,26622,14.548372268676758,14.875984191894531,4.635169982910156,4.821949005126953,13.699371337890625,13.799371719360352,1.2262185077281199e-07,1.2264127640434358e-07,1.2265414267337467e-07,1.2265414267337467e-07,0.4067268791971047,0.5684416328279511,0.698655345927551,0.698655345927551,1.3662799801602004,1.394695351190391,1.6020775578752129,1.6020849034842506,1.3763310845808863,1.7081459785241224,1.9621362725792284,1.9621452690762247,34.93563495423428,54.129130765269366,60.34812320614034,60.3490166961997,-1.0,-1.0,-1.0,-1.0,0.008893966674804688,0.012717976502720788,0.01563884726557309,0.01563940221051643,8.893966674804687e-09,1.2717976502720787e-08,1.5638847265573088e-08,1.563940221051643e-08,1.4548372268676757e-05,1.487598419189453e-05,4.635169982910156e-06,4.821949005126953e-06,1.3699371337890625e-05,1.3799371719360352e-05,986640,1616832,538944,1703808,21557760,39605976.0,37.771202087402344,0.03688593953847885,37.77 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of boundary mesh for parametrization | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
PLAG103,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG103-binary.stl,Plag Binary meshes,97389,0.09287738800048828,ascii,0.0034840400187409,0.188088180028302,143,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG103-binary.stl,97389,314,624,0.16011670576207582,0.0035850545507084526,0.05150600150227547,0.25626298785209656,4.386128902435303,4.655922889709473,5.4393720626831055,5.579370975494385,0.36648862822289036,0,1,1,True,0.000204739893920447,0.00021247800818002816,0.0003607569853370527,0.00036077401454498844,34.44907277492312,44.61321208378941,59.16557206382337,59.1663644267655,60.993390664007194,90.0,90.0,90.0,1.010121487384275,1.393955294838046,1.463986348071067,1.479236801580275,,data/Nikolaisen2022_merrill_msh/PLAG103.msh,988779,0.9429731369018555,pymeshfix_gmsh,,,,1341522,1.2793750762939453,6344,28964,0.05150600150227547,0.2562629878520966,4.386128902435303,4.655922889709473,5.439372062683105,5.579370975494386,7.743505245731574e-09,1.20995299644249e-07,2.1328973523714034e-07,3.944040046364412e-07,0.11994106688852164,0.610831773867305,0.8225069961021423,0.987671786143375,1.00024989704085,1.2494755487406217,2.02524648653822,4.223882655711763,1.0121484348559713,1.4743723655185335,2.3808543526395423,4.441811484221056,12.553712816705826,50.10702088996334,66.58763992508378,84.13864929438733,-1.0,-1.0,-1.0,-1.0,0.003096485991684164,0.010770097297309695,0.014958035205437484,0.01836731223275527,3.0964859916841638e-09,1.0770097297309695e-08,1.4958035205437484e-08,1.836731223275527e-08,5.1506001502275465e-08,2.562629878520966e-07,4.386128902435302e-06,4.655922889709472e-06,5.439372062683105e-06,5.579370975494386e-06,1079104,1827072,609024,1853696,24360960,44594784.0,42.528900146484375,0.04153212904930115,42.53 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: TimeoutError: Mesh conversion exceeded 30 seconds. Increase mesh_timeout_seconds to retry this STL.
PLAG102,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG102-binary.stl,Plag Binary meshes,102759,0.09799861907958984,ascii,0.0024856333916562,0.168065853009435,144,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG102-binary.stl,102759,326,646,0.16005210993064573,0.0026350131599492095,21.448715209960938,21.571571350097656,4.614416122436523,5.133248805999756,5.199371814727783,5.359372138977051,0.5566696403277164,5,3,1,False,0.0002047536804639094,0.00021247166841931175,0.0003607611151184425,0.00036078359104281164,34.44983329645115,44.32705882826191,59.16506958921053,59.16703377057601,60.99449031283514,90.0,90.0,90.0,1.0101326346934139,1.394175158499121,1.4639785188313361,1.479223774973854,,data/Nikolaisen2022_merrill_msh/PLAG102.msh,754419,0.7194700241088867,pymeshfix_gmsh,,,,1022307,0.9749479293823242,5204,21734,21.44871520996094,21.57157135009766,4.635169982910156,5.133248805999756,5.199371814727782,5.359372138977052,7.95686422058843e-09,1.1550464143599154e-07,2.1597132997982336e-07,3.761541384498046e-07,0.07894578123930313,0.5860281830377724,0.8114932993120638,0.9813996534233451,1.001052027121063,1.2699543994482143,2.0725556033381847,7.3428816617061505,1.0223440136744946,1.5013004163501378,2.4263538758980605,5.656739331735128,10.50246790803947,50.29346926661347,66.75049990954557,82.88578732997284,-1.0,-1.0,-1.0,-1.0,0.0024772133087427517,0.010746190474632836,0.015031532931318472,0.021987944175591946,2.4772133087427517e-09,1.0746190474632836e-08,1.503153293131847e-08,2.1987944175591945e-08,2.144871520996094e-05,2.157157135009766e-05,4.635169982910156e-06,5.133248805999756e-06,5.199371814727782e-06,5.359372138977051e-06,820384,1498752,499584,1390976,19983360,36289584.0,34.60844421386719,0.033797308802604675,34.61 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh,gmsh: ValueError: zero-size array to reduction operation maximum which has no identity
PLAG101,PLAG,data/Nikolaisen2022/Plag Binary meshes/PLAG101-binary.stl,Plag Binary meshes,109275,0.10421276092529297,ascii,0.0020431594624265,0.157434972878988,145,2,02_large,um,1e-06,0.009,9e-09,data/Nikolaisen2022/Plag Binary meshes/PLAG101-binary.stl,109275,334,662,0.1745640079535014,0.0005571814400538075,21.61252212524414,22.001562118530273,14.03642463684082,14.160944938659668,13.919371604919434,14.159371376037598,0.4737692603767179,9,7,1,False,0.0002047390353254741,0.0002915274410326915,0.00036075548898968916,0.0003607779723713267,34.44919606749968,44.32637598917555,59.16546225162776,59.16703377057601,60.99292988461106,90.0,90.0,90.0,1.0101166691413204,1.3941758252613832,1.4640026286372831,1.4792346896825652,,data/Nikolaisen2022_merrill_msh/PLAG101.msh,635873,0.6064157485961914,voxel,0.009,3035.0,4496.0,635873,0.6064157485961914,4496,18210,21.62156867980957,22.001562118530273,14.03642463684082,14.152050971984863,13.919371604919434,14.159371376037598,1.1919099728030513e-07,1.1921612715533789e-07,1.1924170315730231e-07,1.1924170315730231e-07,0.4094217309951109,0.5690800921654506,0.6948898960662532,0.6949277822739023,1.366177320037405,1.393489325849387,1.60840330464092,1.6084200861031313,1.3703097501853885,1.7066689051729595,1.9698836984882502,1.9699042514980276,34.791952059311036,54.49018639809626,59.701668771018674,59.701668771018674,-1.0,-1.0,-1.0,-1.0,0.00888824462890625,0.012574596998971892,0.015491229738340877,0.015492324470571377,8.88824462890625e-09,1.2574596998971891e-08,1.5491229738340875e-08,1.5492324470571375e-08,2.162156867980957e-05,2.2001562118530273e-05,1.4036424636840819e-05,1.4152050971984862e-05,1.3919371604919433e-05,1.4159371376037596e-05,690624,1294848,431616,1165440,17264640,31270752.0,29.822113037109375,0.029123157262802124,29.82 MiB,Screening estimate; calibrate with real Merrill.jl runs.,ok,gmsh;pymeshfix_gmsh;voxel,gmsh: Exception: Wrong topology of triangulation for parametrization: one edge is incident to 3 triangles | pymeshfix_gmsh: Exception: Wrong topology of boundary mesh for parametrization
